INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182063511,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,425,,2018-08-10 08:30:00,2018,8,Friday,8,Part Three,BLUE HILL AVE,42.27294490,-71.09348933,"(42.27294490, -71.09348933)"
I182063510,01402,Vandalism,VANDALISM,D4,627,,2018-08-09 20:30:00,2018,8,Thursday,20,Part Two,PETERBOROUGH ST,42.34280177,-71.10069510,"(42.34280177, -71.10069510)"
I182063509,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,820,,2018-08-09 13:00:00,2018,8,Thursday,13,Part One,SOLDIERS FIELD RD,42.35996672,-71.11750278,"(42.35996672, -71.11750278)"
I182063508,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,26,,2018-08-10 08:39:00,2018,8,Friday,8,Part Three,BORDER ST,42.37957532,-71.04011349,"(42.37957532, -71.04011349)"
I182063507,01402,Vandalism,VANDALISM,D4, ,,2018-08-10 09:12:00,2018,8,Friday,9,Part Two,BOYLSTON ST,,,"(0.00000000, 0.00000000)"
I182063504,03001,Medical Assistance,DEATH INVESTIGATION,C11,365,,2018-08-10 08:33:00,2018,8,Friday,8,Part Three,SAINT MARKS RD,42.29158203,-71.06034341,"(42.29158203, -71.06034341)"
I182063503,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C11,461,,2018-08-10 07:29:00,2018,8,Friday,7,Part Three,GENEVA AVE,42.30490390,-71.07414043,"(42.30490390, -71.07414043)"
I182063502,03207,Property Found,PROPERTY - FOUND,D4,134,,2018-08-10 08:58:00,2018,8,Friday,8,Part Three,BOYLSTON ST,42.35037870,-71.07626098,"(42.35037870, -71.07626098)"
I182063501,03115,Investigate Person,INVESTIGATE PERSON,A1, ,,2018-08-10 07:49:00,2018,8,Friday,7,Part Three,JOHN F. FITZGERALD SURF,,,"(0.00000000, 0.00000000)"
I182063500,03115,Investigate Person,INVESTIGATE PERSON,E5,686,,2018-08-10 07:53:00,2018,8,Friday,7,Part Three,MONTVALE ST,42.28562001,-71.14579972,"(42.28562001, -71.14579972)"
I182063499,03207,Property Found,PROPERTY - FOUND,E18,547,,2018-08-09 08:00:00,2018,8,Thursday,8,Part Three,DEFOREST ST,42.26639766,-71.12856702,"(42.26639766, -71.12856702)"
I182063498,03502,Missing Person Located,MISSING PERSON - LOCATED,E5,549,,2018-08-09 21:50:00,2018,8,Thursday,21,Part Three,WASHINGTON ST,42.26181177,-71.15640773,"(42.26181177, -71.15640773)"
I182063497,00727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,A1,77,,2018-07-27 16:00:00,2018,7,Friday,16,Part One,CONGRESS ST,42.36139413,-71.05768690,"(42.36139413, -71.05768690)"
I182063496,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,500,,2018-08-09 19:00:00,2018,8,Thursday,19,Part One,CANTERBURY ST,42.27976945,-71.11542058,"(42.27976945, -71.11542058)"
I182063495,01402,Vandalism,VANDALISM,C11,394,,2018-08-10 06:46:00,2018,8,Friday,6,Part Two,ROWENA ST,42.28477931,-71.06223825,"(42.28477931, -71.06223825)"
I182063492,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14, ,,2018-08-09 19:00:00,2018,8,Thursday,19,Part One,BRIGHTON AVE,,,"(0.00000000, 0.00000000)"
I182063491,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,E13,568,,2018-08-10 07:35:00,2018,8,Friday,7,Part Three,PARK LN,42.31045222,-71.09786370,"(42.31045222, -71.09786370)"
I182063490,03201,Property Lost,PROPERTY - LOST,D4,167,,2018-08-10 07:59:00,2018,8,Friday,7,Part Three,HARRISON AVE,42.33994076,-71.06891018,"(42.33994076, -71.06891018)"
I182063489,01402,Vandalism,VANDALISM,C6,936,,2018-08-10 07:51:00,2018,8,Friday,7,Part Two,W SEVENTH ST,42.33648581,-71.05424501,"(42.33648581, -71.05424501)"
I182063488,03115,Investigate Person,INVESTIGATE PERSON,D4,168,,2018-08-10 07:19:00,2018,8,Friday,7,Part Three,E NEWTON ST,42.33807331,-71.07265225,"(42.33807331, -71.07265225)"
I182063487,00616,Larceny,LARCENY THEFT OF BICYCLE,D4,141,,2018-08-10 07:41:00,2018,8,Friday,7,Part One,HEREFORD ST,42.34894667,-71.08574065,"(42.34894667, -71.08574065)"
I182063486,03207,Property Found,PROPERTY - FOUND,C11,351,,2018-08-10 06:25:00,2018,8,Friday,6,Part Three,ADAMS ST,42.30092795,-71.05942982,"(42.30092795, -71.05942982)"
I182063484,03130,Search Warrants,SEARCH WARRANT,D14,939,,2018-08-10 07:04:00,2018,8,Friday,7,Part Three,FANEUIL ST,42.35555336,-71.15274721,"(42.35555336, -71.15274721)"
I182063483,03108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",A1,90,,2018-08-10 06:08:00,2018,8,Friday,6,Part Three,ATLANTIC AVE,42.36239719,-71.05100791,"(42.36239719, -71.05100791)"
I182063482,00724,Auto Theft,AUTO THEFT,D14,776,,2018-08-09 20:30:00,2018,8,Thursday,20,Part One,COMMONWEALTH AVE,42.34154901,-71.14974484,"(42.34154901, -71.14974484)"
I182063480,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,500,,2018-08-10 05:56:00,2018,8,Friday,5,Part One,GILMAN ST,42.27917887,-71.11550590,"(42.27917887, -71.11550590)"
I182063479,03410,Towed,TOWED MOTOR VEHICLE,E5,564,,2018-08-10 05:08:00,2018,8,Friday,5,Part Three,WASHINGTON ST,42.29398908,-71.12009356,"(42.29398908, -71.12009356)"
I182063478,03115,Investigate Person,INVESTIGATE PERSON,D4,145,,2018-08-10 05:22:00,2018,8,Friday,5,Part Three,DURHAM ST,42.34403563,-71.08117746,"(42.34403563, -71.08117746)"
I182063476,03301,Verbal Disputes,VERBAL DISPUTE,C11,352,,2018-08-10 04:21:00,2018,8,Friday,4,Part Three,JOSEPHINE ST,42.30052010,-71.06490653,"(42.30052010, -71.06490653)"
I182063475,01001,Counterfeiting,FORGERY / COUNTERFEITING,D14,939,,2018-08-10 04:57:00,2018,8,Friday,4,Part Two,FANEUIL ST,42.35555336,-71.15274721,"(42.35555336, -71.15274721)"
I182063475,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",D14,939,,2018-08-10 04:57:00,2018,8,Friday,4,Part Two,FANEUIL ST,42.35555336,-71.15274721,"(42.35555336, -71.15274721)"
I182063475,01843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,D14,939,,2018-08-10 04:57:00,2018,8,Friday,4,Part Two,FANEUIL ST,42.35555336,-71.15274721,"(42.35555336, -71.15274721)"
I182063475,01806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,D14,939,,2018-08-10 04:57:00,2018,8,Friday,4,Part Two,FANEUIL ST,42.35555336,-71.15274721,"(42.35555336, -71.15274721)"
I182063475,01848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,D14,939,,2018-08-10 04:57:00,2018,8,Friday,4,Part Two,FANEUIL ST,42.35555336,-71.15274721,"(42.35555336, -71.15274721)"
I182063473,03115,Investigate Person,INVESTIGATE PERSON,C11,332,,2018-08-10 03:25:00,2018,8,Friday,3,Part Three,BELLEVUE ST,42.31212341,-71.06820729,"(42.31212341, -71.06820729)"
I182063472,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,119,,2018-08-18 08:45:00,2018,8,Saturday,8,Part One,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
I182063472,03125,Warrant Arrests,WARRANT ARREST,A1,119,,2018-08-18 08:45:00,2018,8,Saturday,8,Part Three,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
I182063472,01300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,A1,119,,2018-08-18 08:45:00,2018,8,Saturday,8,Part Two,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
I182063469,02907,Violations,VAL - OPERATING AFTER REV/SUSP.,B2,308,,2018-08-10 02:58:00,2018,8,Friday,2,Part Two,HUMBOLDT AVE,42.31871968,-71.08610630,"(42.31871968, -71.08610630)"
I182063464,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,A1,173,,2018-08-10 00:29:00,2018,8,Friday,0,Part Three,ATLANTIC AVE,42.35083019,-71.05641803,"(42.35083019, -71.05641803)"
I182063463,03125,Warrant Arrests,WARRANT ARREST,A1,97,,2018-08-10 02:19:00,2018,8,Friday,2,Part Three,SPRING LN,42.35752986,-71.05823153,"(42.35752986, -71.05823153)"
I182063462,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,117,,2018-08-10 01:58:00,2018,8,Friday,1,Part Two,HARRISON AVE,42.35171679,-71.06118419,"(42.35171679, -71.06118419)"
I182063460,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,180,,2018-08-10 00:33:00,2018,8,Friday,0,Part Three,EUSTIS ST,42.32635435,-71.07422322,"(42.32635435, -71.07422322)"
I182063459,02403,Disorderly Conduct,DISTURBING THE PEACE,C11,435,,2018-08-10 01:10:00,2018,8,Friday,1,Part Two,WASHINGTON ST,42.28683796,-71.07119249,"(42.28683796, -71.07119249)"
I182063459,02610,Other,TRESPASSING,C11,435,,2018-08-10 01:10:00,2018,8,Friday,1,Part Two,WASHINGTON ST,42.28683796,-71.07119249,"(42.28683796, -71.07119249)"
I182063458,02907,Violations,VAL - OPERATING AFTER REV/SUSP.,D4,273,,2018-08-10 02:05:00,2018,8,Friday,2,Part Two,TREMONT ST,42.33827684,-71.08225392,"(42.33827684, -71.08225392)"
I182063456,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,435,,2018-08-09 23:00:00,2018,8,Thursday,23,Part Two,PEACEVALE RD,42.28716674,-71.07633479,"(42.28716674, -71.07633479)"
I182063456,00301,Robbery,ROBBERY - STREET,B3,435,,2018-08-09 23:00:00,2018,8,Thursday,23,Part One,PEACEVALE RD,42.28716674,-71.07633479,"(42.28716674, -71.07633479)"
I182063454,00612,Larceny,LARCENY PURSE SNATCH - NO FORCE ,C11,394,,2018-08-10 01:41:00,2018,8,Friday,1,Part One,ASHMONT ST,42.28600087,-71.06344648,"(42.28600087, -71.06344648)"
I182063454,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,394,,2018-08-10 01:41:00,2018,8,Friday,1,Part Two,ASHMONT ST,42.28600087,-71.06344648,"(42.28600087, -71.06344648)"
I182063453,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E13,948,,2018-08-09 23:40:00,2018,8,Thursday,23,Part Two,AMORY ST,42.31915678,-71.10067583,"(42.31915678, -71.10067583)"
I182063447,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,C6,185,,2018-08-10 00:05:00,2018,8,Friday,0,Part Three,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)"
I182063446,03503,Missing Person Located,MISSING PERSON - NOT REPORTED - LOCATED,B2,611,,2018-08-09 23:22:00,2018,8,Thursday,23,Part Three,MISSION PARK DR,42.33407624,-71.10842653,"(42.33407624, -71.10842653)"
I182063445,03115,Investigate Person,INVESTIGATE PERSON,D14,794,,2018-08-09 23:35:00,2018,8,Thursday,23,Part Three,GLENVILLE AVE,42.34977988,-71.13423049,"(42.34977988, -71.13423049)"
I182063444,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,318,,2018-08-10 00:04:00,2018,8,Friday,0,Part Three,HUMBOLDT AVE,42.31024899,-71.09183930,"(42.31024899, -71.09183930)"
I182063443,01402,Vandalism,VANDALISM,E18,481,,2018-08-09 23:00:00,2018,8,Thursday,23,Part Two,HOLLINGSWORTH ST,42.26809427,-71.09909970,"(42.26809427, -71.09909970)"
I182063440,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,752,,2018-07-30 00:00:00,2018,7,Monday,0,Part Two,WASHINGTON ST,42.34893308,-71.16177266,"(42.34893308, -71.16177266)"
I182063439,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,309,,2018-08-09 23:17:00,2018,8,Thursday,23,Part Three,DALE ST,42.32083655,-71.08453474,"(42.32083655, -71.08453474)"
I182063437,03301,Verbal Disputes,VERBAL DISPUTE,B2,316,,2018-08-09 23:21:00,2018,8,Thursday,23,Part Three,ABBOTSFORD ST,42.31462973,-71.09261520,"(42.31462973, -71.09261520)"
I182063435,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,612,,2018-08-09 21:35:00,2018,8,Thursday,21,Part Three,LONGWOOD AVE,42.33744152,-71.10428096,"(42.33744152, -71.10428096)"
I182063435,03125,Warrant Arrests,WARRANT ARREST,B2,612,,2018-08-09 21:35:00,2018,8,Thursday,21,Part Three,LONGWOOD AVE,42.33744152,-71.10428096,"(42.33744152, -71.10428096)"
I182063434,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,437,,2018-08-09 22:03:00,2018,8,Thursday,22,Part Two,ELMHURST ST,42.28904237,-71.07657020,"(42.28904237, -71.07657020)"
I182063433,00801,Simple Assault,ASSAULT - SIMPLE,A1, ,,2018-08-09 22:37:00,2018,8,Thursday,22,Part Two,WINTER PL,,,"(0.00000000, 0.00000000)"
I182063433,02403,Disorderly Conduct,DISTURBING THE PEACE,A1, ,,2018-08-09 22:37:00,2018,8,Thursday,22,Part Two,WINTER PL,,,"(0.00000000, 0.00000000)"
I182063432,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,19,,2018-08-09 22:51:11,2018,8,Thursday,22,Part Three,BROOKS ST,42.37775189,-71.03431784,"(42.37775189, -71.03431784)"
I182063431,03115,Investigate Person,INVESTIGATE PERSON,E5,941,,2018-08-09 22:29:00,2018,8,Thursday,22,Part Three,BROOKWAY RD,42.29255618,-71.11974225,"(42.29255618, -71.11974225)"
I182063430,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E13,946,,2018-08-09 22:41:00,2018,8,Thursday,22,Part Two,METCALF CT,42.30536762,-71.11571500,"(42.30536762, -71.11571500)"
I182063430,00381,Robbery,ROBBERY - CAR JACKING,E13,946,,2018-08-09 22:41:00,2018,8,Thursday,22,Part One,METCALF CT,42.30536762,-71.11571500,"(42.30536762, -71.11571500)"
I182063429,00617,Larceny,LARCENY THEFT FROM BUILDING,E5,561,,2018-08-09 21:51:00,2018,8,Thursday,21,Part One,PROSPECT AVE,42.28420547,-71.12152902,"(42.28420547, -71.12152902)"
I182063428,03207,Property Found,PROPERTY - FOUND,C11,235,,2018-08-09 21:45:00,2018,8,Thursday,21,Part Three,MOSELEY ST,42.32092354,-71.05403107,"(42.32092354, -71.05403107)"
I182063427,03115,Investigate Person,INVESTIGATE PERSON,E18,527,,2018-08-09 22:05:00,2018,8,Thursday,22,Part Three,HYDE PARK AVE,42.23504691,-71.13289238,"(42.23504691, -71.13289238)"
I182063425,03207,Property Found,PROPERTY - FOUND,A1,102,,2018-08-09 22:25:00,2018,8,Thursday,22,Part Three,BROMFIELD ST,42.35717394,-71.06126832,"(42.35717394, -71.06126832)"
I182063424,03114,Investigate Property,INVESTIGATE PROPERTY,B2,268,,2018-08-09 22:08:33,2018,8,Thursday,22,Part Three,ADAMS ST,42.32828680,-71.07682397,"(42.32828680, -71.07682397)"
I182063422,00619,Larceny,LARCENY ALL OTHERS,D4,627,,2018-08-09 21:02:00,2018,8,Thursday,21,Part One,KILMARNOCK ST,42.34353469,-71.09980109,"(42.34353469, -71.09980109)"
I182063421,03301,Verbal Disputes,VERBAL DISPUTE,B2,319,,2018-08-09 21:55:00,2018,8,Thursday,21,Part Three,NAZING CT,42.30752440,-71.08720471,"(42.30752440, -71.08720471)"
I182063420,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,335,,2018-08-09 21:41:00,2018,8,Thursday,21,Part Three,CLARKSON ST,42.30829668,-71.06747771,"(42.30829668, -71.06747771)"
I182063419,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,235,,2018-08-09 21:35:00,2018,8,Thursday,21,Part Three,MOSELEY ST,42.32092354,-71.05403107,"(42.32092354, -71.05403107)"
I182063417,03301,Verbal Disputes,VERBAL DISPUTE,B2,603,,2018-08-09 21:22:00,2018,8,Thursday,21,Part Three,TREMONT ST,42.33380683,-71.10377843,"(42.33380683, -71.10377843)"
I182063416,03810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING  BICYCLE - INJURY,A1,69,,2018-08-09 22:08:00,2018,8,Thursday,22,Part Three,BEACON ST,42.35590084,-71.07058043,"(42.35590084, -71.07058043)"
I182063415,02660,Other,OTHER OFFENSE,B3,428,,2018-08-09 19:41:00,2018,8,Thursday,19,Part Two,SUTTON ST,42.28197224,-71.08912459,"(42.28197224, -71.08912459)"
I182063414,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,268,,2018-08-09 21:35:00,2018,8,Thursday,21,Part Three,ADAMS ST,42.32897790,-71.07592971,"(42.32897790, -71.07592971)"
I182063413,03821,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,C6,220,,2018-08-09 18:01:00,2018,8,Thursday,18,Part Three,DORCHESTER ST,42.33384499,-71.04903900,"(42.33384499, -71.04903900)"
I182063412,00617,Larceny,LARCENY THEFT FROM BUILDING,A7,30,,2018-08-09 22:00:00,2018,8,Thursday,22,Part One,GOVE ST,42.37036402,-71.03514011,"(42.37036402, -71.03514011)"
I182063411,00619,Larceny,LARCENY ALL OTHERS,B3,465,,2018-08-09 19:50:00,2018,8,Thursday,19,Part One,HANSBOROUGH ST,42.28810362,-71.09153335,"(42.28810362, -71.09153335)"
I182063411,01106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B3,465,,2018-08-09 19:50:00,2018,8,Thursday,19,Part Two,HANSBOROUGH ST,42.28810362,-71.09153335,"(42.28810362, -71.09153335)"
I182063410,03410,Towed,TOWED MOTOR VEHICLE,B2,263,,2018-08-09 20:37:00,2018,8,Thursday,20,Part Three,HUCKINS ST,42.32368852,-71.07519735,"(42.32368852, -71.07519735)"
I182063409,03201,Property Lost,PROPERTY - LOST,E5,550,,2018-08-09 21:11:00,2018,8,Thursday,21,Part Three,WASHINGTON ST,42.27625767,-71.13939536,"(42.27625767, -71.13939536)"
I182063408,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,310,,2018-08-06 08:00:00,2018,8,Monday,8,Part Two,WARREN ST,42.31684039,-71.08277185,"(42.31684039, -71.08277185)"
I182063407,03114,Investigate Property,INVESTIGATE PROPERTY,C6,221,,2018-08-09 21:23:00,2018,8,Thursday,21,Part Three,E SECOND ST,42.33719922,-71.04250150,"(42.33719922, -71.04250150)"
I182063406,03106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,C11,333,,2018-08-09 18:51:00,2018,8,Thursday,18,Part Three,STANLEY ST,42.30942585,-71.06956549,"(42.30942585, -71.06956549)"
I182063405,03301,Verbal Disputes,VERBAL DISPUTE,B3,416,,2018-08-09 20:52:00,2018,8,Thursday,20,Part Three,FULLER ST,42.28154388,-71.07350542,"(42.28154388, -71.07350542)"
I182063401,02623,Other,OBSCENE MATERIALS - PORNOGRAPHY,A15,55,,2018-08-09 21:15:00,2018,8,Thursday,21,Part Two,HIGH ST,42.37706411,-71.06459108,"(42.37706411, -71.06459108)"
I182063400,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,357,,2018-08-09 20:38:00,2018,8,Thursday,20,Part Two,GENEVA AVE,42.30080999,-71.06705066,"(42.30080999, -71.06705066)"
I182063400,02647,Other,THREATS TO DO BODILY HARM,C11,357,,2018-08-09 20:38:00,2018,8,Thursday,20,Part Two,GENEVA AVE,42.30080999,-71.06705066,"(42.30080999, -71.06705066)"
I182063398,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,573,,2018-08-09 19:58:00,2018,8,Thursday,19,Part Three,AMORY ST,42.30870730,-71.10821451,"(42.30870730, -71.10821451)"
I182063397,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,,2018-08-08 22:15:00,2018,8,Wednesday,22,Part Three,CHARLESGATE E,,,"(0.00000000, 0.00000000)"
I182063396,00615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,D4,273,,2018-08-09 19:14:00,2018,8,Thursday,19,Part One,CAMDEN ST,42.33744115,-71.08057671,"(42.33744115, -71.08057671)"
I182063395,00617,Larceny,LARCENY THEFT FROM BUILDING,A15,38,,2018-08-09 16:00:00,2018,8,Thursday,16,Part One,THIRD AVE,42.37627664,-71.05383757,"(42.37627664, -71.05383757)"
I182063394,00613,Larceny,LARCENY SHOPLIFTING,D4,134,,2018-08-09 19:34:00,2018,8,Thursday,19,Part One,NEWBURY ST,42.35176179,-71.07452168,"(42.35176179, -71.07452168)"
I182063393,00613,Larceny,LARCENY SHOPLIFTING,D4,134,,2018-08-09 19:20:00,2018,8,Thursday,19,Part One,NEWBURY ST,42.35176179,-71.07452168,"(42.35176179, -71.07452168)"
I182063392,03810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING  BICYCLE - INJURY,C6, ,,2018-08-09 19:30:00,2018,8,Thursday,19,Part Three,FARGO ST,,,"(0.00000000, 0.00000000)"
I182063391,03301,Verbal Disputes,VERBAL DISPUTE,A1,117,,2018-08-09 19:52:00,2018,8,Thursday,19,Part Three,ESSEX ST,42.35246671,-71.06167002,"(42.35246671, -71.06167002)"
I182063389,03205,License Plate Related Incidents,M/V PLATES - LOST,A1, ,,2018-08-09 18:45:00,2018,8,Thursday,18,Part Three,CAMBRIDGE ST,,,"(0.00000000, 0.00000000)"
I182063388,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,19,,2018-08-09 07:02:00,2018,8,Thursday,7,Part Three,SARATOGA ST,42.37784577,-71.03303551,"(42.37784577, -71.03303551)"
I182063387,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,146,,2018-08-06 21:00:00,2018,8,Monday,21,Part One,GARRISON ST,42.34589483,-71.07957977,"(42.34589483, -71.07957977)"
I182063386,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,193,,2018-08-09 19:59:00,2018,8,Thursday,19,Part Three,ROGERS ST,42.32967465,-71.05555264,"(42.32967465, -71.05555264)"
I182063385,01844,Drug Violation,DRUGS - POSS CLASS C,A7,16,,2018-08-09 20:18:00,2018,8,Thursday,20,Part Two,FALCON ST,42.38196252,-71.03026651,"(42.38196252, -71.03026651)"
I182063384,01300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,C6,186,,2018-08-09 19:59:00,2018,8,Thursday,19,Part Two,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182063384,00613,Larceny,LARCENY SHOPLIFTING,C6,186,,2018-08-09 19:59:00,2018,8,Thursday,19,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182063383,02647,Other,THREATS TO DO BODILY HARM,A1,66,,2018-08-09 17:32:00,2018,8,Thursday,17,Part Two,GROVE ST,42.35990168,-71.06864465,"(42.35990168, -71.06864465)"
I182063377,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,130,,2018-08-09 19:08:00,2018,8,Thursday,19,Part Two,BOYLSTON ST,42.34980175,-71.07840978,"(42.34980175, -71.07840978)"
I182063376,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,116,,2018-08-09 19:11:00,2018,8,Thursday,19,Part Two,BEACH ST,42.35108400,-71.05939500,"(42.35108400, -71.05939500)"
I182063376,02610,Other,TRESPASSING,A1,116,,2018-08-09 19:11:00,2018,8,Thursday,19,Part Two,BEACH ST,42.35108400,-71.05939500,"(42.35108400, -71.05939500)"
I182063376,01843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,116,,2018-08-09 19:11:00,2018,8,Thursday,19,Part Two,BEACH ST,42.35108400,-71.05939500,"(42.35108400, -71.05939500)"
I182063375,01402,Vandalism,VANDALISM,B3,429,,2018-07-03 10:00:00,2018,7,Tuesday,10,Part Two,WILLOWWOOD ST,42.28633184,-71.08642318,"(42.28633184, -71.08642318)"
I182063375,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,B3,429,,2018-07-03 10:00:00,2018,7,Tuesday,10,Part Two,WILLOWWOOD ST,42.28633184,-71.08642318,"(42.28633184, -71.08642318)"
I182063374,00617,Larceny,LARCENY THEFT FROM BUILDING,C11,247,,2018-08-09 18:43:00,2018,8,Thursday,18,Part One,SAVIN HILL AVE,42.31290648,-71.05762325,"(42.31290648, -71.05762325)"
I182063373,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,B3, ,,2018-08-08 16:30:00,2018,8,Wednesday,16,Part Three,CANTERBURY ST,,,"(0.00000000, 0.00000000)"
I182063372,00619,Larceny,LARCENY ALL OTHERS,D4,142,,2018-08-09 18:46:00,2018,8,Thursday,18,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I182063371,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,639,,2018-08-09 19:20:00,2018,8,Thursday,19,Part Three,CENTRE ST,42.31459482,-71.11411065,"(42.31459482, -71.11411065)"
I182063369,03805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,D4, ,,2018-08-09 19:26:00,2018,8,Thursday,19,Part Three,BALL ST,,,"(0.00000000, 0.00000000)"
I182063368,00619,Larceny,LARCENY ALL OTHERS,E18,501,,2018-08-03 01:00:00,2018,8,Friday,1,Part One,HYDE PARK AVE,42.28063521,-71.11889610,"(42.28063521, -71.11889610)"
I182063367,03115,Investigate Person,INVESTIGATE PERSON,C11,363,,2018-08-09 18:56:00,2018,8,Thursday,18,Part Three,ELM LAWN,42.29429199,-71.06098870,"(42.29429199, -71.06098870)"
I182063366,02405,Disorderly Conduct,DISORDERLY CONDUCT,D4,273,,2018-08-09 18:30:00,2018,8,Thursday,18,Part Two,WASHINGTON ST,42.33621941,-71.07733761,"(42.33621941, -71.07733761)"
I182063366,02610,Other,TRESPASSING,D4,273,,2018-08-09 18:30:00,2018,8,Thursday,18,Part Two,WASHINGTON ST,42.33621941,-71.07733761,"(42.33621941, -71.07733761)"
I182063364,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,146,,2018-08-09 18:56:00,2018,8,Thursday,18,Part Three,HUNTINGTON AVE,42.34730980,-71.07915167,"(42.34730980, -71.07915167)"
I182063363,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,794,,2018-08-09 18:21:00,2018,8,Thursday,18,Part Two,COMMONWEALTH AVE,42.35007201,-71.13202926,"(42.35007201, -71.13202926)"
I182063362,03301,Verbal Disputes,VERBAL DISPUTE,E5,550,,2018-08-09 18:43:00,2018,8,Thursday,18,Part Three,BEECH ST,42.27651058,-71.13417555,"(42.27651058, -71.13417555)"
